,Decision Tree,KNN,Ridge,SVM RBF
mean_fit_time,25.058,23.538,24.307,41.228
mean_score_time,6.438,7.965,6.225,8.61
mean_test_score,11.373,11.379,10.366,11.621
mean_train_score,6.91,5.14,9.135,6.269
