rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_randomforestregressor__max_depth,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
25,8.454812145233154,0.09503246642025685,0.12737975120544434,0.014173967966690848,244,46,621,"{'columntransformer__countvectorizer__max_features': 244, 'randomforestregressor__max_depth': 46, 'randomforestregressor__n_estimators': 621}",-0.0970230140689027,-0.0953533352279355,-0.09015374722931088,-0.10078114500550606,-0.0938835129682106,-0.09543895089997315,0.003504522478957605,-0.037035287964305504,-0.038901781025271746,-0.03921408034719762,-0.03695295201095846,-0.03890218071515112,-0.03820125641257689,0.000992530929990134
26,8.106103324890137,0.07539139965810406,0.1091738224029541,0.007980193753844607,357,87,519,"{'columntransformer__countvectorizer__max_features': 357, 'randomforestregressor__max_depth': 87, 'randomforestregressor__n_estimators': 519}",-0.09693459655494151,-0.09499746171746583,-0.09015546237494386,-0.10075518552397814,-0.09435970142331013,-0.0954404815189279,0.0034575782829601364,-0.03413768501139467,-0.03392523619413935,-0.034296720009323566,-0.0338183165937875,-0.03406879604971094,-0.034049350771671205,0.0001662250379386851
27,13.159758043289184,0.10056953309782704,0.14345736503601075,0.0053814726918031885,198,66,938,"{'columntransformer__countvectorizer__max_features': 198, 'randomforestregressor__max_depth': 66, 'randomforestregressor__n_estimators': 938}",-0.09704410771690497,-0.09495752431144092,-0.09028604381188331,-0.10101553145993115,-0.09392517028158566,-0.0954456755163492,0.0035426066060333357,-0.0341492238722179,-0.03436427164885504,-0.03459761015865692,-0.03385475682005819,-0.034271163828301594,-0.034247405265617925,0.00024522564129822217
28,7.233560228347779,0.04888976078832401,0.10194206237792969,0.004892940041728255,400,54,472,"{'columntransformer__countvectorizer__max_features': 400, 'randomforestregressor__max_depth': 54, 'randomforestregressor__n_estimators': 472}",-0.09673627198742066,-0.09438174838519124,-0.09125518664824361,-0.10118917434553419,-0.09366721931216625,-0.0954459201357112,0.003361798986171719,-0.03555683284698229,-0.03689581109894987,-0.03726530634071457,-0.03547477060800961,-0.03663667691785517,-0.0363658795625023,0.0007227390852892712
29,13.309329748153687,0.18906083455264117,0.14605603218078614,0.008276117968694943,254,97,896,"{'columntransformer__countvectorizer__max_features': 254, 'randomforestregressor__max_depth': 97, 'randomforestregressor__n_estimators': 896}",-0.09660166384064459,-0.09521974146432169,-0.09036233929409658,-0.10107311962434158,-0.09398704550100487,-0.09544878194488186,0.003493518078126655,-0.03396737730966838,-0.03406562579021211,-0.03420311525880311,-0.03372501049488788,-0.0340340786051644,-0.03399904149174717,0.00015710046351650098
30,12.362547779083252,0.14442288747473933,0.13715243339538574,0.005260901203287901,336,82,794,"{'columntransformer__countvectorizer__max_features': 336, 'randomforestregressor__max_depth': 82, 'randomforestregressor__n_estimators': 794}",-0.09710428091212071,-0.09503462907971197,-0.09046608628251646,-0.10092782277530203,-0.09373820351682446,-0.09545420451329514,0.003483827649259304,-0.033992704749389244,-0.034116328519100826,-0.03432966267982932,-0.033785799024950235,-0.03424945646429552,-0.034094790287513034,0.00019258640646057778
31,5.070767021179199,0.06207599306853629,0.09426789283752442,0.013228082561033293,431,59,324,"{'columntransformer__countvectorizer__max_features': 431, 'randomforestregressor__max_depth': 59, 'randomforestregressor__n_estimators': 324}",-0.09703107200966284,-0.09375965017357887,-0.0909964432802487,-0.10186167438715425,-0.09362318567976043,-0.09545440510608103,0.003731968935406283,-0.03504866469117743,-0.036093067667861314,-0.036346955637323146,-0.034933702006057145,-0.03545519064081037,-0.03557551612864588,0.0005598132794838405
32,14.432384634017945,0.054678745252997256,0.15018301010131835,0.006705471140177101,298,55,996,"{'columntransformer__countvectorizer__max_features': 298, 'randomforestregressor__max_depth': 55, 'randomforestregressor__n_estimators': 996}",-0.09668190959879817,-0.09524134078292279,-0.09057206533679552,-0.10070345973004553,-0.09409112230286633,-0.09545797955028566,0.003310602841533179,-0.035170069778188165,-0.03643651533306433,-0.0367860177454999,-0.035130708073482564,-0.03620737787815236,-0.03594613776167747,0.0006754734694401337
33,6.9375941276550295,0.06185237110505484,0.10256786346435547,0.014238832579370822,278,66,437,"{'columntransformer__countvectorizer__max_features': 278, 'randomforestregressor__max_depth': 66, 'randomforestregressor__n_estimators': 437}",-0.0966228885277538,-0.0953781460876266,-0.09025294333190755,-0.10065055583340189,-0.09443049726682241,-0.09546700620950245,0.003360772210016707,-0.03432961515165162,-0.034742601208370576,-0.03524894051259229,-0.034161193071567904,-0.034845947422116386,-0.03466565947325975,0.00038627779705042027
34,3.830436038970947,0.04596105367080479,0.08041496276855468,0.009269614765383816,232,82,262,"{'columntransformer__countvectorizer__max_features': 232, 'randomforestregressor__max_depth': 82, 'randomforestregressor__n_estimators': 262}",-0.09652479625563402,-0.0951193474879735,-0.09073583918510972,-0.10108374177284425,-0.09387863634968659,-0.09546847221024961,0.00339689135049505,-0.03400073005753096,-0.034183257916099864,-0.034115012461802124,-0.03366589413225381,-0.03444596709663298,-0.03408217233286394,0.000254387021629335
35,13.416327953338623,0.11912814090577369,0.1446403980255127,0.003556842284955046,215,52,989,"{'columntransformer__countvectorizer__max_features': 215, 'randomforestregressor__max_depth': 52, 'randomforestregressor__n_estimators': 989}",-0.09669235663295865,-0.09557399987773045,-0.09076009323014124,-0.10122976566191721,-0.09310231297434053,-0.09547170567541761,0.0035346575867685128,-0.03537352330310301,-0.03655834749385084,-0.03693953169746719,-0.03518836475962703,-0.036457700680146636,-0.03610349358683894,0.0006930558202090358
36,13.033982753753662,0.09760917664210339,0.1483950138092041,0.014062276174402174,331,78,854,"{'columntransformer__countvectorizer__max_features': 331, 'randomforestregressor__max_depth': 78, 'randomforestregressor__n_estimators': 854}",-0.09710409788986965,-0.0948732852826936,-0.09082929676216867,-0.10080711002029896,-0.09377306522406356,-0.09547737103581888,0.003344444056965449,-0.03412536531278577,-0.03424442979979664,-0.03430487244392228,-0.03364532883095751,-0.034160730841918625,-0.03409614544587616,0.0002340153429251355
37,13.313626956939697,0.17928342371024375,0.1479048252105713,0.006874466605538614,296,71,890,"{'columntransformer__countvectorizer__max_features': 296, 'randomforestregressor__max_depth': 71, 'randomforestregressor__n_estimators': 890}",-0.09692475048819747,-0.09535359311419402,-0.09019612668461592,-0.10080015892598253,-0.09411781004712018,-0.09547848785202202,0.0034693584686346464,-0.0342214501389439,-0.03440472454567834,-0.03474184956741002,-0.03399985378045847,-0.034421930068118174,-0.03435796162012178,0.0002451633328785342
38,7.169852018356323,0.04310725116112143,0.10970344543457031,0.018687076431904887,338,72,462,"{'columntransformer__countvectorizer__max_features': 338, 'randomforestregressor__max_depth': 72, 'randomforestregressor__n_estimators': 462}",-0.09710437466872679,-0.09511639811562742,-0.0902515666539354,-0.10104472895178138,-0.0939343351598974,-0.09549028070999367,0.0035626415561685193,-0.03404929532329648,-0.034433884479742737,-0.034625010816196775,-0.033804867454477944,-0.03420586002656019,-0.03422378362005483,0.00028683926120967335
39,10.114588356018066,0.018625455269440396,0.13639864921569825,0.014458499732980362,231,46,758,"{'columntransformer__countvectorizer__max_features': 231, 'randomforestregressor__max_depth': 46, 'randomforestregressor__n_estimators': 758}",-0.09721371900762762,-0.09504109314899047,-0.09045584035308506,-0.1014165293734261,-0.09333998427267282,-0.09549343323116041,0.0036949085789833138,-0.03689972042226536,-0.038658741001142034,-0.038921498982487944,-0.03705795538969291,-0.038383090856745496,-0.037984201330466746,0.0008398421152844588
40,8.102148151397705,0.033966060128240085,0.10880155563354492,0.0049670221614088695,353,49,558,"{'columntransformer__countvectorizer__max_features': 353, 'randomforestregressor__max_depth': 49, 'randomforestregressor__n_estimators': 558}",-0.09692301771592067,-0.09556630840520022,-0.0903307869703897,-0.1008976330454263,-0.09375968113212883,-0.09549548545381316,0.003490363589061382,-0.036640085437572856,-0.038147142899833966,-0.03843350197121958,-0.036583516532175266,-0.03757021082709508,-0.037474891533579344,0.0007578116189869436
41,4.473305511474609,0.0678716550513391,0.09116482734680176,0.011816868227573198,391,76,285,"{'columntransformer__countvectorizer__max_features': 391, 'randomforestregressor__max_depth': 76, 'randomforestregressor__n_estimators': 285}",-0.09708606122202526,-0.09503639567336411,-0.09067870471325727,-0.10125835865859575,-0.09342151608331163,-0.09549620727011081,0.0035624184291745483,-0.03430154503148068,-0.03432283700716031,-0.03467156873007402,-0.033945726857276745,-0.03459267957829932,-0.03436687144085822,0.00025589024380907833
42,8.919616842269898,0.10849096059853557,0.11558856964111328,0.008110297690418116,285,99,600,"{'columntransformer__countvectorizer__max_features': 285, 'randomforestregressor__max_depth': 99, 'randomforestregressor__n_estimators': 600}",-0.09702461270471835,-0.09554619474294701,-0.09046315388009293,-0.10114560110976072,-0.09336161009613776,-0.09550823450673135,0.003581663884991255,-0.034040692961111396,-0.03419520491996506,-0.034395275629302495,-0.033668760421274535,-0.034128354712835485,-0.034085657728897795,0.00023896110947379124
43,68.53734803199768,129.19781798993256,129.2887114048004,158.25591398417686,336,79,257,"{'columntransformer__countvectorizer__max_features': 336, 'randomforestregressor__max_depth': 79, 'randomforestregressor__n_estimators': 257}",-0.09649883659231807,-0.09495002850075182,-0.0903983479441751,-0.10163948464170508,-0.09406094369054349,-0.09550952827389872,0.003663077877259586,-0.033988692733336934,-0.03427853802670484,-0.03412799215818393,-0.0336403983769271,-0.03416299053166677,-0.034039722365363914,0.00022003780963086812
44,4.68898229598999,0.0238575507200157,0.0969893455505371,0.00920161530293384,230,51,336,"{'columntransformer__countvectorizer__max_features': 230, 'randomforestregressor__max_depth': 51, 'randomforestregressor__n_estimators': 336}",-0.09724862713630666,-0.09456883545297856,-0.09074286147463313,-0.10148531934883245,-0.09353158253009042,-0.09551544518856825,0.003640127841136659,-0.03588527163934379,-0.03688422059898627,-0.037420979661747004,-0.03556320371368379,-0.03657752131620072,-0.03646623938599232,0.0006710615328958335
45,3.533901405334473,0.03182358816577194,0.0825566291809082,0.006039323244205827,430,58,225,"{'columntransformer__countvectorizer__max_features': 430, 'randomforestregressor__max_depth': 58, 'randomforestregressor__n_estimators': 225}",-0.0972414192749454,-0.09468441793613655,-0.09080336841449507,-0.10164397858344741,-0.09325845372010562,-0.095526327585826,0.003702042687325507,-0.03504964508957826,-0.03599164765696492,-0.036552624838390724,-0.03507397696785495,-0.03650383448351566,-0.0358343458072609,0.0006607268292396877
46,199.7629578113556,151.90697523223798,0.15008654594421386,0.00879344310072058,342,50,985,"{'columntransformer__countvectorizer__max_features': 342, 'randomforestregressor__max_depth': 50, 'randomforestregressor__n_estimators': 985}",-0.09699052005950476,-0.09504615668714789,-0.09075168448008832,-0.10115720544364663,-0.09371659042174037,-0.09553243141842559,0.0034685267260895843,-0.03656971499459503,-0.03774515987233881,-0.038228934959505134,-0.036199972200413336,-0.03744205682026366,-0.03723716776942319,0.0007489867173857582
