rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_randomforestregressor__max_depth,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1,5.851194953918457,0.08533174609790989,0.06566781997680664,0.008981961541605927,417,80,494,"{'columntransformer__countvectorizer__max_features': 417, 'randomforestregressor__max_depth': 80, 'randomforestregressor__n_estimators': 494}",-0.0967815534802162,-0.09382314551892952,-0.09106100118143376,-0.10125965954979864,-0.09268556550953651,-0.09512218504798292,0.0035927685626945616,-0.0341241207053705,-0.03400113889990291,-0.034503873391982055,-0.03353771717091245,-0.03422292877206701,-0.03407795578804698,0.00031695828393544774
2,164.6810791015625,128.2513303782981,0.08113064765930175,0.0061759635935987375,395,91,627,"{'columntransformer__countvectorizer__max_features': 395, 'randomforestregressor__max_depth': 91, 'randomforestregressor__n_estimators': 627}",-0.09678110044154474,-0.09415362904246817,-0.09054139304103515,-0.1007056003089391,-0.09361330299000203,-0.09515900516479783,0.0034093468250060853,-0.033903754621349744,-0.034013201286722326,-0.03404009245190828,-0.033466351007589726,-0.034164760221783164,-0.03391763191787065,0.0002404369042376292
3,5.676775789260864,0.2160616496904057,0.05971007347106934,0.003998406798306727,404,67,452,"{'columntransformer__countvectorizer__max_features': 404, 'randomforestregressor__max_depth': 67, 'randomforestregressor__n_estimators': 452}",-0.09687895164944958,-0.0943748596474228,-0.0908478028235408,-0.1009373976108213,-0.09297900693697572,-0.09520360373364203,0.003472515863220763,-0.03441393217395785,-0.03485488703059867,-0.03512701016869635,-0.03409769174882911,-0.034631992689239596,-0.03462510276226431,0.00035426394684118223
4,3.496532154083252,0.1107300318922823,0.04992718696594238,0.008938890660531199,336,79,257,"{'columntransformer__countvectorizer__max_features': 336, 'randomforestregressor__max_depth': 79, 'randomforestregressor__n_estimators': 257}",-0.09615711141257126,-0.09460992496426447,-0.09057672350485507,-0.10071836932549807,-0.09407279746704904,-0.09522698533484758,0.0032972194611774618,-0.03418954597942288,-0.034219891611672736,-0.03462088421940716,-0.03376548140541827,-0.034408633877598495,-0.0342408874187039,0.0002834163325515527
5,5.139221715927124,0.056904108542184986,0.05812702178955078,0.002096263196637217,405,88,433,"{'columntransformer__countvectorizer__max_features': 405, 'randomforestregressor__max_depth': 88, 'randomforestregressor__n_estimators': 433}",-0.09658674892983117,-0.09382192923284986,-0.09065717311424505,-0.10173682949986765,-0.09338429751313428,-0.09523739565798559,0.003754446723621713,-0.03391884508374467,-0.034167585297121945,-0.03428200019994575,-0.03377504027147271,-0.03404278710804724,-0.03403725159206646,0.00017871445130710013
6,3.2724090576171876,0.01989714060886457,0.05030508041381836,0.0035280534625168076,232,82,262,"{'columntransformer__countvectorizer__max_features': 232, 'randomforestregressor__max_depth': 82, 'randomforestregressor__n_estimators': 262}",-0.09641263391148738,-0.09518605974969875,-0.09062356194549198,-0.10045908097488516,-0.09355770089671574,-0.0952478074956558,0.003248326087770739,-0.03396686107740313,-0.034158012557059414,-0.03450750970085651,-0.03363674605255861,-0.034385132228318106,-0.034130852323239154,0.00030928978773260557
7,8.176052570343018,0.08749350292248709,0.08770766258239746,0.0015359724231846315,317,81,574,"{'columntransformer__countvectorizer__max_features': 317, 'randomforestregressor__max_depth': 81, 'randomforestregressor__n_estimators': 574}",-0.09642927140191215,-0.0951765677954698,-0.0905609459046506,-0.10054793791150833,-0.093526239465008,-0.09524819249570977,0.003299175102900039,-0.03402968492670231,-0.03423845494277045,-0.03412078947210323,-0.03378788620952232,-0.03419889915130305,-0.034075142940480266,0.0001604075285987107
8,8.375983619689942,0.08196652915930078,0.09485969543457032,0.00963045865070788,273,94,755,"{'columntransformer__countvectorizer__max_features': 273, 'randomforestregressor__max_depth': 94, 'randomforestregressor__n_estimators': 755}",-0.09668801566767445,-0.09462956710765606,-0.09027656146507082,-0.10079405504047494,-0.09390593669986143,-0.09525882719614753,0.0034563153717429708,-0.033964131976269754,-0.03391176923627624,-0.034113547555791664,-0.03355285114392395,-0.03407788103328843,-0.03392403618911001,0.00019955915525547474
9,9.117870473861695,0.06389494725516509,0.09950542449951172,0.0013831919239921705,310,70,603,"{'columntransformer__countvectorizer__max_features': 310, 'randomforestregressor__max_depth': 70, 'randomforestregressor__n_estimators': 603}",-0.09674781190208473,-0.09515438984717514,-0.09040357183591173,-0.1004186383680151,-0.0936072540638096,-0.09526633320339926,0.0033212211810579335,-0.034207530722648816,-0.03447682696364245,-0.034675678528808596,-0.03390193556355146,-0.034493350888419504,-0.03435106453341417,0.0002697237950520222
10,10.12438702583313,0.10994127839311656,0.10313706398010254,0.011789666268054815,247,98,925,"{'columntransformer__countvectorizer__max_features': 247, 'randomforestregressor__max_depth': 98, 'randomforestregressor__n_estimators': 925}",-0.09698063194894181,-0.0940817935619061,-0.0902519360490455,-0.10091799858325282,-0.09414156966800027,-0.0952747859622293,0.0035409657017138113,-0.03386683712743035,-0.033859539012102265,-0.03412175952214252,-0.03353766619151235,-0.03399979388500947,-0.03387711914763939,0.0001952132652020957
