rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
21,0.23415699005126953,0.020487664930349994,0.06346383094787597,0.009813205780086287,296,10.0,"{'columntransformer__countvectorizer__max_features': 296, 'ridge__alpha': 10.0}",-0.09319273773013975,-0.09716497975348933,-0.08367470833771003,-0.09972505314853086,-0.08502094337629665,-0.09175568446923332,0.006410855598446494,-0.07921876684726814,-0.07905117237697427,-0.08102196842021088,-0.0787151373334937,-0.08171038952366137,-0.07994348690032167,0.0011929253364153464
22,0.31856818199157716,0.09873664613602913,0.07283477783203125,0.015508838359395769,167,1.0,"{'columntransformer__countvectorizer__max_features': 167, 'ridge__alpha': 1.0}",-0.09111655264503307,-0.09904570270105399,-0.08565023482296757,-0.0978134524771328,-0.08530969380678531,-0.09178712729059454,0.0058150112002453005,-0.07633100734423587,-0.07482248647842628,-0.07776750808994806,-0.07591739929646867,-0.07764323680085196,-0.07649632760198616,0.001104131642594327
23,0.2676675796508789,0.02475770009961826,0.07130002975463867,0.015972145045174788,270,10.0,"{'columntransformer__countvectorizer__max_features': 270, 'ridge__alpha': 10.0}",-0.09324374545317289,-0.0973070548760317,-0.08371008018711358,-0.09970476969268091,-0.08502527999107785,-0.09179818604001538,0.006422477023103729,-0.07940503202847736,-0.07922144628966554,-0.08117145960992457,-0.07884399547964814,-0.08183049082496059,-0.08009448484653524,0.0011810890368564803
24,0.27759838104248047,0.026362050838873163,0.05994720458984375,0.014036222111286792,249,10.0,"{'columntransformer__countvectorizer__max_features': 249, 'ridge__alpha': 10.0}",-0.09329306023580845,-0.09732811263952322,-0.08364562546581443,-0.09974017145978584,-0.08503015591289924,-0.09180742514276624,0.00645228515144066,-0.0796297990820017,-0.07935806745999353,-0.08136179873922271,-0.07898824890764858,-0.08204112941273237,-0.08027580872031977,0.0012010927701995217
25,0.2383646011352539,0.021251895861938007,0.05912084579467773,0.012682402091670123,256,10.0,"{'columntransformer__countvectorizer__max_features': 256, 'ridge__alpha': 10.0}",-0.0932971063192554,-0.09731663171241774,-0.08370886037906339,-0.09971330905705253,-0.08503460122149545,-0.0918141017378569,0.006426992760485503,-0.07954630997868946,-0.07931951544625263,-0.08126529419258173,-0.0789200710528342,-0.08194280978551033,-0.08019880009117367,0.0011843151835094063
25,0.2348447322845459,0.018690199043744565,0.0563502311706543,0.0038539805719464124,256,10.0,"{'columntransformer__countvectorizer__max_features': 256, 'ridge__alpha': 10.0}",-0.0932971063192554,-0.09731663171241774,-0.08370886037906339,-0.09971330905705253,-0.08503460122149545,-0.0918141017378569,0.006426992760485503,-0.07954630997868946,-0.07931951544625263,-0.08126529419258173,-0.0789200710528342,-0.08194280978551033,-0.08019880009117367,0.0011843151835094063
27,0.23672904968261718,0.014538031725349456,0.06050395965576172,0.013043151200403927,231,10.0,"{'columntransformer__countvectorizer__max_features': 231, 'ridge__alpha': 10.0}",-0.09308433241414797,-0.0973488162938226,-0.08386860446995721,-0.09977588638764014,-0.08516626001499639,-0.09184877991611286,0.006371111041611253,-0.07985221831463668,-0.07955426254030469,-0.08163471876182113,-0.0792256667744346,-0.08235120869828767,-0.08052361501789694,0.0012369104730768873
28,0.2450575828552246,0.02544442082376693,0.06595058441162109,0.012400319955490707,233,10.0,"{'columntransformer__countvectorizer__max_features': 233, 'ridge__alpha': 10.0}",-0.09314234360806223,-0.09736070991396974,-0.08384305881613774,-0.09977659949528034,-0.08521980990940711,-0.09186850434857144,0.006370837794520397,-0.07981634827205565,-0.07953973563191805,-0.08161297302926611,-0.07921858474227203,-0.08231436075099724,-0.08050040048530181,0.0012298069361617561
29,0.23344621658325196,0.012300483791710129,0.0547823429107666,0.005964299952333892,212,10.0,"{'columntransformer__countvectorizer__max_features': 212, 'ridge__alpha': 10.0}",-0.09331113124890184,-0.09763063214840426,-0.08376290485419512,-0.10022776015482186,-0.08512353598553155,-0.09201119287837092,0.0065765338604534766,-0.0801757430738853,-0.07984225172772302,-0.0819361230985777,-0.07952228642972967,-0.0826183661881707,-0.08081895410361728,0.0012275964670598594
30,0.22169342041015624,0.020586032111389405,0.05594148635864258,0.010723302685415506,202,10.0,"{'columntransformer__countvectorizer__max_features': 202, 'ridge__alpha': 10.0}",-0.09331759889990718,-0.09763431226317469,-0.08370710642500226,-0.10026996090715917,-0.08524210138511337,-0.09203421597607134,0.006577373621988812,-0.08030062115900545,-0.07996837371629534,-0.08209622989312103,-0.07965803752527502,-0.082737242808054,-0.08095210102035016,0.0012298380240894477
31,0.24077730178833007,0.016713164846756202,0.06268229484558105,0.008523578128986986,165,10.0,"{'columntransformer__countvectorizer__max_features': 165, 'ridge__alpha': 10.0}",-0.09396266594179382,-0.09745122088452865,-0.08380945736826134,-0.10045409106817278,-0.08529225333898768,-0.09219393772034885,0.006586809807391395,-0.08117950005184366,-0.08077303332814503,-0.0828953921216631,-0.08051001481300635,-0.08344354413310721,-0.08176029688955308,0.0011829608654729754
32,0.21622071266174317,0.013242837573347765,0.06035451889038086,0.01308881110781556,182,10.0,"{'columntransformer__countvectorizer__max_features': 182, 'ridge__alpha': 10.0}",-0.09360714744253691,-0.09770901491536785,-0.08389428044320661,-0.10038105065425178,-0.08540408858658713,-0.09219911640839007,0.00654871414037293,-0.08061951816534065,-0.08026239060240012,-0.08240604931655761,-0.08008500493325227,-0.08303341480841736,-0.0812812755651936,0.0012035132544275804
33,0.2333127498626709,0.022490872487037853,0.057796287536621097,0.007681315828759407,158,10.0,"{'columntransformer__countvectorizer__max_features': 158, 'ridge__alpha': 10.0}",-0.09415086049616528,-0.09757122690209855,-0.0838686916542263,-0.10054995969582269,-0.08538219295690912,-0.0923045863410444,0.006606303991593206,-0.08139231928296561,-0.08084017996014306,-0.08310387407385103,-0.08059780874723702,-0.08375610950240037,-0.08193805831331942,0.0012620517723636669
34,0.2506460666656494,0.02020357358581568,0.07975659370422364,0.019908121966927234,150,10.0,"{'columntransformer__countvectorizer__max_features': 150, 'ridge__alpha': 10.0}",-0.09434033154911142,-0.09783027312519073,-0.08392075460679477,-0.10103038350830082,-0.08538680981668131,-0.09250171052121581,0.006764125753856981,-0.08153569973786057,-0.08119690940721523,-0.08338366368560815,-0.08096320541877457,-0.08405248375632507,-0.08222639240115673,0.001249513457762023
35,0.21995878219604492,0.01605801908635278,0.05301432609558106,0.007441005913559181,156,0.1,"{'columntransformer__countvectorizer__max_features': 156, 'ridge__alpha': 0.1}",-0.09187820584058579,-0.0963321656129029,-0.08868451728842633,-0.09834791265425764,-0.08791693180768437,-0.09263194664077141,0.004116930324183357,-0.07669912239757733,-0.0750932135421599,-0.07786838999014219,-0.07602902403132147,-0.07825338681775644,-0.07678862735579148,0.00116368758483533
36,0.23961396217346193,0.015325655894816114,0.06410098075866699,0.010770165504830669,141,1.0,"{'columntransformer__countvectorizer__max_features': 141, 'ridge__alpha': 1.0}",-0.09301985102277181,-0.0969551874865377,-0.08701911983865282,-0.10023797186911691,-0.08615168864167445,-0.09267676377175074,0.005480511409779203,-0.07792228583356647,-0.07673512775842392,-0.07949078582442806,-0.07744408167437718,-0.0798873698965485,-0.07829593019746882,0.0012051324039939262
37,0.233298397064209,0.025831079127286074,0.06826820373535156,0.006383239661363886,160,0.01,"{'columntransformer__countvectorizer__max_features': 160, 'ridge__alpha': 0.01}",-0.0915259905352617,-0.09719881804458966,-0.08861107046740906,-0.09806834192418275,-0.08975863422220576,-0.09303257103872978,0.003879554534191348,-0.07631781787113229,-0.07464929954458938,-0.07783333323979814,-0.07595944041154928,-0.07771526390381206,-0.07649503099417623,0.0011836391005341645
38,0.21004199981689453,0.010302613999088462,0.07590413093566895,0.009754634084121345,195,0.1,"{'columntransformer__countvectorizer__max_features': 195, 'ridge__alpha': 0.1}",-0.08969940408598205,-0.10150337821484112,-0.08743282082188122,-0.09851029209925194,-0.08854749358659884,-0.09313867776171104,0.005732134562726815,-0.07442182683535006,-0.07257964495832911,-0.07591381478731558,-0.0741924341452229,-0.07598066715301743,-0.07461767757584702,0.0012578138730621289
39,0.23816843032836915,0.013039536158323034,0.05722784996032715,0.007736174321321151,185,0.1,"{'columntransformer__countvectorizer__max_features': 185, 'ridge__alpha': 0.1}",-0.08995860820415458,-0.10163397208037621,-0.08755156818818387,-0.09855970829013662,-0.08829740787145234,-0.09320025292686072,0.005767237986660038,-0.07468532296269687,-0.0732867183967138,-0.0763630632250394,-0.07475334476549005,-0.07615601089617585,-0.07504889204922319,0.0011204949513337267
40,0.24377336502075195,0.021148285688875324,0.062458038330078125,0.007899042687915256,192,0.1,"{'columntransformer__countvectorizer__max_features': 192, 'ridge__alpha': 0.1}",-0.0894850105105918,-0.10139165202156303,-0.08746513038009465,-0.09907948007021038,-0.08879995904884751,-0.09324424640626147,0.0057915783142695925,-0.07454260963457741,-0.07301481267847601,-0.07602821186972304,-0.0743213121991968,-0.07606200284187115,-0.07479378984476888,0.0011474535566601048
41,0.3811298370361328,0.17469922692361511,0.08984594345092774,0.05535841871627323,177,0.1,"{'columntransformer__countvectorizer__max_features': 177, 'ridge__alpha': 0.1}",-0.09024138589533247,-0.10191159727691695,-0.08738564632709923,-0.09815058992768018,-0.08855684880609865,-0.0932492136466255,0.005735976235925393,-0.07509992297791267,-0.07371858454046187,-0.07718035223573952,-0.07525860534512814,-0.07639436144972184,-0.07553036530979282,0.0011841139996802408
42,0.20783476829528807,0.017810562097533386,0.06075387001037598,0.006529183260715875,246,0.1,"{'columntransformer__countvectorizer__max_features': 246, 'ridge__alpha': 0.1}",-0.08975381348129817,-0.10183719940741487,-0.08901492763539602,-0.09784484947308346,-0.08800997136818195,-0.0932921522730749,0.005521970833708422,-0.07132762074721966,-0.07010015266150202,-0.0727492040208041,-0.07118865662570473,-0.07321523306291025,-0.07171617342362815,0.0011273954297303678
43,0.2456900119781494,0.014535056634351862,0.06180539131164551,0.009859123816841201,209,0.1,"{'columntransformer__countvectorizer__max_features': 209, 'ridge__alpha': 0.1}",-0.08981570326110214,-0.10156360149356672,-0.08704330793457692,-0.09943655821393149,-0.08922637353134691,-0.09341710888690484,0.0058950290223682734,-0.07351539807557533,-0.07212122063859636,-0.07540879869393184,-0.07339557022742667,-0.07518311372398506,-0.07392482027190304,0.0012236174361529534
44,0.26156911849975584,0.0170009716024842,0.06345167160034179,0.005600675386413435,141,0.1,"{'columntransformer__countvectorizer__max_features': 141, 'ridge__alpha': 0.1}",-0.09321317986899261,-0.09722148253942348,-0.08877664029341722,-0.10044758479479371,-0.08817154889096421,-0.09356608727751825,0.0047514484750976575,-0.0776999811472377,-0.07624282732153474,-0.07927241681906616,-0.07721743556082612,-0.07945489744635005,-0.07797751165900295,0.0012266471985743455
45,0.3488597393035889,0.047569058313867055,0.07788124084472656,0.015414387868396585,231,0.01,"{'columntransformer__countvectorizer__max_features': 231, 'ridge__alpha': 0.01}",-0.08942682467138346,-0.10118780266572569,-0.08927426696508367,-0.0974045586739217,-0.09063768954057934,-0.09358622850333877,0.0048363438586899185,-0.07185457747041941,-0.07064112582921,-0.07363014228012507,-0.07201409582813685,-0.07409414003913913,-0.0724468162894061,0.0012579704122994714
46,0.2561133861541748,0.009859821818705044,0.07116489410400391,0.02047635306432661,126,10.0,"{'columntransformer__countvectorizer__max_features': 126, 'ridge__alpha': 10.0}",-0.09521383484342992,-0.09891867857729314,-0.08544000352463406,-0.10187259508208975,-0.0865066927891289,-0.09359036096331515,0.006576149621370859,-0.08282655183092243,-0.08264123354090025,-0.08486258067584794,-0.08175485840425735,-0.08517296398425972,-0.08345163768723754,0.0013326868710425248
47,0.23357682228088378,0.020491841120359622,0.05547819137573242,0.003391585421471656,140,0.1,"{'columntransformer__countvectorizer__max_features': 140, 'ridge__alpha': 0.1}",-0.09307527755097342,-0.09721831587141279,-0.08866242590242371,-0.10054637569953188,-0.08851331056792945,-0.09360314111845426,0.004730194008011638,-0.07773386913931905,-0.07624488157089065,-0.07931996382585711,-0.0772299335952973,-0.07955562641838813,-0.07801685490995044,0.0012573882628742032
48,0.23816018104553222,0.019250835063794037,0.06416149139404297,0.016403329688892875,227,0.01,"{'columntransformer__countvectorizer__max_features': 227, 'ridge__alpha': 0.01}",-0.08968770194856064,-0.10144591236172983,-0.088801810687991,-0.09780815512692936,-0.09073605272087763,-0.0936959265692177,0.00501501329134038,-0.0721700989447494,-0.07094554535349012,-0.07411008386232072,-0.0721592870459059,-0.07411179722073542,-0.07269936248544032,0.0012355389587439536
49,0.2333707332611084,0.0040198422861685325,0.05815768241882324,0.010615032416618179,276,0.1,"{'columntransformer__countvectorizer__max_features': 276, 'ridge__alpha': 0.1}",-0.09093991909269689,-0.1010094953631383,-0.09011572523128937,-0.09844925096191062,-0.08831194249969267,-0.09376526662974556,0.0050091724737176,-0.06910213291484416,-0.06819188220728445,-0.07113595920233946,-0.06949406326798034,-0.07098126290239934,-0.06978106009896956,0.0011265020216081557
50,0.23525400161743165,0.016612460168623618,0.05582318305969238,0.006338311701726761,218,0.01,"{'columntransformer__countvectorizer__max_features': 218, 'ridge__alpha': 0.01}",-0.09094012410947959,-0.10145957619789203,-0.08810471336545099,-0.09886897839553024,-0.08978919543025797,-0.09383251749972217,0.005311498768186653,-0.07284148279865121,-0.07154298918660218,-0.07467005364576017,-0.07298946993414389,-0.07476510808493289,-0.07336182073001807,0.0012164073021506251
51,0.24281697273254393,0.020020943981517724,0.06505203247070312,0.01640263085784024,210,0.01,"{'columntransformer__countvectorizer__max_features': 210, 'ridge__alpha': 0.01}",-0.08990603291900945,-0.1024133546114242,-0.08796394626761567,-0.0988866654726854,-0.09010709879800585,-0.0938554196137481,0.0057080418482701656,-0.07349003446651753,-0.07205340889293196,-0.07527805020384082,-0.07314553480797281,-0.07514449932323676,-0.07382230553889997,0.0012300249562298567
52,0.22667818069458007,0.02142360216222813,0.05302958488464356,0.011878330093074135,196,0.01,"{'columntransformer__countvectorizer__max_features': 196, 'ridge__alpha': 0.01}",-0.09017826852273327,-0.10188671683316293,-0.08777703638019498,-0.0991417661588066,-0.09059900922772987,-0.09391655942452552,0.0055407742405007175,-0.07426001619595458,-0.07246643006081281,-0.07587424850827917,-0.07406962798040205,-0.07582101927666147,-0.07449826840442202,0.0012658479291546222
53,0.2617167949676514,0.029979359607645816,0.06847944259643554,0.01391755223352236,268,0.1,"{'columntransformer__countvectorizer__max_features': 268, 'ridge__alpha': 0.1}",-0.09097690847789597,-0.10144308149027674,-0.09017248558157177,-0.0983538607304102,-0.08871987596399446,-0.09393324244882982,0.005019998830426434,-0.06998856791254389,-0.06893208957371891,-0.07144297519428572,-0.0700894767751928,-0.07148471860839127,-0.07038756561282652,0.000967894694755749
54,0.2612605571746826,0.02281966729553983,0.05874843597412109,0.008016436853066295,215,0.01,"{'columntransformer__countvectorizer__max_features': 215, 'ridge__alpha': 0.01}",-0.09078732225076769,-0.10283601356082339,-0.08757518061541081,-0.09872772505991072,-0.09006259466174238,-0.093997767229731,0.005788423934122178,-0.07308721760888653,-0.07176824806268181,-0.07498574948407588,-0.07312763347216988,-0.07500309849503917,-0.07359438942457067,0.001243400233531727
55,0.23263516426086425,0.01327423263458597,0.05540280342102051,0.0029503298305143095,138,0.01,"{'columntransformer__countvectorizer__max_features': 138, 'ridge__alpha': 0.01}",-0.09358153660045156,-0.09705084808338016,-0.08890403302716708,-0.10060527594822569,-0.09006646471745194,-0.09404163167533527,0.004348456489885417,-0.0779680225623447,-0.07653856447192166,-0.07938304388230755,-0.07721562162868231,-0.07944739536350108,-0.07811052958175146,0.0011574753185361322
56,0.23457298278808594,0.017002673077991564,0.05968003273010254,0.009629933046653666,141,0.001,"{'columntransformer__countvectorizer__max_features': 141, 'ridge__alpha': 0.001}",-0.09325955722312923,-0.09731115114673816,-0.08901141805941958,-0.10057865788877156,-0.09018501053259617,-0.09406915897013095,0.004340665770095671,-0.07769201924743036,-0.07624237172031988,-0.07925983271302188,-0.07721455913935839,-0.07940400470620647,-0.0779625575052674,0.0012126355294845264
57,0.2570631980895996,0.02618028553341346,0.06659321784973145,0.008443413306493525,221,0.001,"{'columntransformer__countvectorizer__max_features': 221, 'ridge__alpha': 0.001}",-0.09087620036914416,-0.10142948791230791,-0.08839977484401484,-0.09846721496807488,-0.09125698004121713,-0.09408593162695178,0.004975161975520273,-0.07261007254829466,-0.07145981068921498,-0.0743207041110086,-0.07277110605434853,-0.0743575187621585,-0.07310384243300506,0.0011054247376453186
58,0.2534024715423584,0.02601815384159922,0.05635290145874024,0.005957572716947682,307,0.1,"{'columntransformer__countvectorizer__max_features': 307, 'ridge__alpha': 0.1}",-0.09111920601943199,-0.1021594251141931,-0.09029565493538035,-0.09872057017178773,-0.08817046056226245,-0.09409306336061113,0.005381846771654544,-0.06748797870804776,-0.06617605370114715,-0.06875921721103156,-0.06811694734814383,-0.06966483405980908,-0.06804100620563587,0.0011783291783260732
59,0.23664326667785646,0.025071037561081484,0.0590576171875,0.007608467699788298,140,0.001,"{'columntransformer__countvectorizer__max_features': 140, 'ridge__alpha': 0.001}",-0.09317845763339543,-0.09731297173508678,-0.0888972096191693,-0.10069658057127828,-0.09051339668686065,-0.0941197232491581,0.004350128940093148,-0.07771037704823093,-0.07624170191522603,-0.07930898764305364,-0.07723242648941091,-0.07949502438995613,-0.07799770349717552,0.0012420292194529094
60,0.24530272483825682,0.012649531622379393,0.06308379173278808,0.009742357915334036,235,0.001,"{'columntransformer__countvectorizer__max_features': 235, 'ridge__alpha': 0.001}",-0.0897479127312178,-0.10170932996474326,-0.08975695850522285,-0.0977579668974843,-0.09165700130978142,-0.09412583388168992,0.004796878214194659,-0.07150032799864856,-0.07043954086493437,-0.07336198074973178,-0.0717657379533037,-0.07381001570057975,-0.07217552065343964,0.0012423119115369111
