rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_kneighborsregressor__leaf_size,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
56,0.09340143203735352,0.012371663773698029,0.03404054641723633,0.0032359286112511854,140,259.7792332295054,69,distance,"{'columntransformer__countvectorizer__max_features': 140, 'kneighborsregressor__leaf_size': 259.7792332295054, 'kneighborsregressor__n_neighbors': 69, 'kneighborsregressor__weights': 'distance'}",0.1344600338760471,0.14363196654376875,0.1189626809589901,0.0949241596820728,0.1232316258858599,0.12304209338934773,0.016502169346991048
57,0.11024980545043946,0.022454733765336635,0.044091796875,0.006107656418352363,232,124.22165151193065,71,distance,"{'columntransformer__countvectorizer__max_features': 232, 'kneighborsregressor__leaf_size': 124.22165151193065, 'kneighborsregressor__n_neighbors': 71, 'kneighborsregressor__weights': 'distance'}",0.11919670093108614,0.1412528697090799,0.12250845103279029,0.09658786516861584,0.13022364035449396,0.12195390543921322,0.014779609155746743
58,0.09741597175598145,0.009979393766635999,0.051723670959472653,0.008248395000210004,215,356.59890197037134,62,uniform,"{'columntransformer__countvectorizer__max_features': 215, 'kneighborsregressor__leaf_size': 356.59890197037134, 'kneighborsregressor__n_neighbors': 62, 'kneighborsregressor__weights': 'uniform'}",0.11989175614135394,0.14173834200048574,0.11613125463719076,0.10147493658306017,0.12980186687889517,0.12180763124819716,0.013494082670646458
59,0.12048087120056153,0.008636789661301793,0.04562735557556152,0.006699058316931743,400,9.169963979843928,64,uniform,"{'columntransformer__countvectorizer__max_features': 400, 'kneighborsregressor__leaf_size': 9.169963979843928, 'kneighborsregressor__n_neighbors': 64, 'kneighborsregressor__weights': 'uniform'}",0.11646566509211687,0.13822223775517417,0.1209932129449387,0.09573845033019224,0.1361287959464602,0.12150967241377644,0.015381113360740065
60,0.10722980499267579,0.0185897606162728,0.042765474319458006,0.004292149424461403,297,323.6980210808668,69,distance,"{'columntransformer__countvectorizer__max_features': 297, 'kneighborsregressor__leaf_size': 323.6980210808668, 'kneighborsregressor__n_neighbors': 69, 'kneighborsregressor__weights': 'distance'}",0.11829705622680153,0.13571331028424227,0.12429381462191591,0.09175200687736096,0.1357228511659896,0.12115580783526206,0.01616615407000184
61,0.09808235168457032,0.016526810887323655,0.04192695617675781,0.0054811453605218075,253,160.5098986487038,71,distance,"{'columntransformer__countvectorizer__max_features': 253, 'kneighborsregressor__leaf_size': 160.5098986487038, 'kneighborsregressor__n_neighbors': 71, 'kneighborsregressor__weights': 'distance'}",0.11769583728862754,0.13810006020746313,0.12262016095959649,0.09271934431410578,0.13178563164945478,0.12058420688384955,0.01562827814176418
62,0.10992279052734374,0.013671029335941812,0.05114307403564453,0.01546800905574528,430,26.722424874648038,76,distance,"{'columntransformer__countvectorizer__max_features': 430, 'kneighborsregressor__leaf_size': 26.722424874648038, 'kneighborsregressor__n_neighbors': 76, 'kneighborsregressor__weights': 'distance'}",0.11977702749250596,0.1272165098380078,0.11612078671983472,0.09173763080497488,0.13342978211360668,0.11765634739378601,0.014274684228353067
63,0.12242884635925293,0.010471168469910431,0.04171996116638184,0.0038217475482394494,235,353.5949683413348,68,uniform,"{'columntransformer__countvectorizer__max_features': 235, 'kneighborsregressor__leaf_size': 353.5949683413348, 'kneighborsregressor__n_neighbors': 68, 'kneighborsregressor__weights': 'uniform'}",0.11208867851580628,0.13722659308915663,0.11623763043135182,0.09274996721468076,0.12645922191046133,0.11695241823229137,0.014908702178204116
64,0.12154440879821778,0.026363571315122736,0.04379281997680664,0.010413449976084939,143,491.300022018014,68,uniform,"{'columntransformer__countvectorizer__max_features': 143, 'kneighborsregressor__leaf_size': 491.300022018014, 'kneighborsregressor__n_neighbors': 68, 'kneighborsregressor__weights': 'uniform'}",0.12115256096261329,0.1340196325735329,0.11445862184434075,0.08933801074531056,0.12038396562691644,0.11587055835054279,0.014721609552690945
65,0.10109248161315917,0.006167228533276701,0.03775420188903809,0.0027319715805274184,225,247.30750663170002,71,uniform,"{'columntransformer__countvectorizer__max_features': 225, 'kneighborsregressor__leaf_size': 247.30750663170002, 'kneighborsregressor__n_neighbors': 71, 'kneighborsregressor__weights': 'uniform'}",0.11130636749285572,0.1347179439412658,0.11544489623353238,0.09297703594809714,0.12471134400828476,0.11583151752480716,0.013989297395764317
66,0.12893238067626953,0.011436928631783775,0.04046297073364258,0.006314084961210648,437,275.78111215670884,78,distance,"{'columntransformer__countvectorizer__max_features': 437, 'kneighborsregressor__leaf_size': 275.78111215670884, 'kneighborsregressor__n_neighbors': 78, 'kneighborsregressor__weights': 'distance'}",0.11863031238319843,0.12765336317778608,0.11249887142996984,0.08712418036939651,0.13048741160017496,0.11527882779210516,0.015466576384548065
67,0.11589155197143555,0.015762376383178983,0.04059953689575195,0.0055205945898471765,437,293.2034855935546,69,uniform,"{'columntransformer__countvectorizer__max_features': 437, 'kneighborsregressor__leaf_size': 293.2034855935546, 'kneighborsregressor__n_neighbors': 69, 'kneighborsregressor__weights': 'uniform'}",0.10781027596623993,0.12818662601247743,0.11084880934941599,0.09080549425640883,0.13246133871854449,0.11402250886061734,0.015022028055323414
