rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_decisiontreeregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.09755082130432129,0.011433897099324603,0.029361581802368163,0.005694163099859796,400,5,"{'columntransformer__countvectorizer__max_features': 400, 'decisiontreeregressor__max_depth': 5}",0.19020363528278783,0.15012147551135846,0.045270547073995915,0.04763737916513411,0.049756653200862866,0.09659793804682784,0.06140446070743362
2,0.09804563522338867,0.013094915495647428,0.023351526260375975,0.003845873680585364,385,5,"{'columntransformer__countvectorizer__max_features': 385, 'decisiontreeregressor__max_depth': 5}",0.17720306765237015,0.15012147551135846,0.03668050875981976,0.06789476569250075,0.049756653200862866,0.0963312941633824,0.056514912878331575
3,0.13123869895935059,0.017300555897964594,0.031324911117553714,0.014561637287179983,212,5,"{'columntransformer__countvectorizer__max_features': 212, 'decisiontreeregressor__max_depth': 5}",0.17660550298127153,0.15772435057221013,0.049281176168051055,0.04438172775895011,0.0497397782178558,0.09554650713966772,0.058810231991173106
4,0.12504158020019532,0.014257889605167565,0.02364320755004883,0.0025153612177975966,266,6,"{'columntransformer__countvectorizer__max_features': 266, 'decisiontreeregressor__max_depth': 6}",0.18361004818553217,0.17056376289274855,0.04057480347121212,0.04495202158378275,-0.017736152406154115,0.0843928967454243,0.07896253785787112
5,0.10320754051208496,0.00928720327247488,0.026316499710083006,0.0072412643943643865,250,7,"{'columntransformer__countvectorizer__max_features': 250, 'decisiontreeregressor__max_depth': 7}",0.18853111398118172,0.18386026951231527,0.06589707814438905,0.08396176284566415,-0.11692724211464944,0.08106459647378014,0.11095514238961582
6,0.11239299774169922,0.01622213043713354,0.02733445167541504,0.005586193284379961,364,4,"{'columntransformer__countvectorizer__max_features': 364, 'decisiontreeregressor__max_depth': 4}",0.15184909001913138,0.1122407846433664,0.06004036437639326,0.052623629614292455,0.02521305003898411,0.08039338373843352,0.04549823902729052
7,0.11585378646850586,0.010910610695591951,0.02610297203063965,0.00760342445522825,225,7,"{'columntransformer__countvectorizer__max_features': 225, 'decisiontreeregressor__max_depth': 7}",0.18575838980992831,0.19146314457316693,0.06589707814438905,0.06942960338970383,-0.12192581596787222,0.07812447998986319,0.11373297022450506
8,0.12820777893066407,0.01973194170011904,0.022789621353149415,0.0036351371268311446,379,7,"{'columntransformer__countvectorizer__max_features': 379, 'decisiontreeregressor__max_depth': 7}",0.20191627845492932,0.19146314457316693,0.06589707814438905,0.06980542815102853,-0.1428538623512139,0.07724561339445998,0.12427094912929391
9,0.09714064598083497,0.008727375759121242,0.0330899715423584,0.0070005829263603304,315,7,"{'columntransformer__countvectorizer__max_features': 315, 'decisiontreeregressor__max_depth': 7}",0.17844557051781829,0.19146314457316693,0.02340263987965041,0.05396525921033035,-0.1429198261514073,0.06087135760591174,0.1215404096960878
10,0.116033935546875,0.012133854446040686,0.03528361320495606,0.010379788327067731,150,7,"{'columntransformer__countvectorizer__max_features': 150, 'decisiontreeregressor__max_depth': 7}",0.16518491150667525,0.18386026951231527,0.06589707814438905,0.05625292743265431,-0.17232480359156344,0.05977407660089409,0.12682949752541298
11,0.13115301132202148,0.037636279715337076,0.02768402099609375,0.008422362079415414,176,9,"{'columntransformer__countvectorizer__max_features': 176, 'decisiontreeregressor__max_depth': 9}",0.1722805536757237,0.1542766574151766,0.050945111739278515,0.09463032227854651,-0.18253539482699055,0.05791945005634695,0.12773256076128733
12,0.09877424240112305,0.006884621760249358,0.02364358901977539,0.004513381846131496,192,3,"{'columntransformer__countvectorizer__max_features': 192, 'decisiontreeregressor__max_depth': 3}",0.11147390537512925,0.10829236468503023,0.024932207725033018,0.03964282662225049,-0.00462559634888926,0.055943141611710746,0.04630347111815292
12,0.10143632888793945,0.016452536620945493,0.028121042251586913,0.006185837500860963,356,3,"{'columntransformer__countvectorizer__max_features': 356, 'decisiontreeregressor__max_depth': 3}",0.11147390537512925,0.10829236468503023,0.024932207725033018,0.03964282662225049,-0.00462559634888926,0.055943141611710746,0.04630347111815292
12,0.1271794319152832,0.012661747327336353,0.02861499786376953,0.011542673713465032,195,3,"{'columntransformer__countvectorizer__max_features': 195, 'decisiontreeregressor__max_depth': 3}",0.11147390537512925,0.10829236468503023,0.024932207725033018,0.03964282662225049,-0.00462559634888926,0.055943141611710746,0.04630347111815292
12,0.09216818809509278,0.008123071858634402,0.026102828979492187,0.003961932749232885,391,3,"{'columntransformer__countvectorizer__max_features': 391, 'decisiontreeregressor__max_depth': 3}",0.11147390537512925,0.10829236468503023,0.024932207725033018,0.03964282662225049,-0.00462559634888926,0.055943141611710746,0.04630347111815292
12,0.10174479484558105,0.008471656376222332,0.027426767349243163,0.009661267347730762,110,3,"{'columntransformer__countvectorizer__max_features': 110, 'decisiontreeregressor__max_depth': 3}",0.11147390537512925,0.10829236468503023,0.024932207725033018,0.03964282662225049,-0.00462559634888926,0.055943141611710746,0.04630347111815292
12,0.11466574668884277,0.015104157939997667,0.03099980354309082,0.007880371557926836,424,3,"{'columntransformer__countvectorizer__max_features': 424, 'decisiontreeregressor__max_depth': 3}",0.11147390537512925,0.10829236468503023,0.024932207725033018,0.03964282662225049,-0.00462559634888926,0.055943141611710746,0.04630347111815292
