rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.10019187927246094,0.01745575288518668,0.022135448455810548,0.0015999095220154418,400,10.0,"{'columntransformer__countvectorizer__max_features': 400, 'ridge__alpha': 10.0}",0.4012835480382464,0.36110600366384793,0.38843005399655783,0.3638508187108478,0.3278001887704549,0.36849412263599096,0.02531690583054619
2,0.1301501750946045,0.0191693313107384,0.036240673065185545,0.008998832491323584,430,10.0,"{'columntransformer__countvectorizer__max_features': 430, 'ridge__alpha': 10.0}",0.4012835480382464,0.36110600366384793,0.38843005399655783,0.3635534810691132,0.3278910886482279,0.3684528350831987,0.02529893224688967
3,0.14356112480163574,0.01668643693334731,0.03682241439819336,0.009749604158860786,359,10.0,"{'columntransformer__countvectorizer__max_features': 359, 'ridge__alpha': 10.0}",0.40165825554302315,0.359823843599975,0.3866461966771383,0.3633683844383918,0.32587346918247284,0.36747402988820027,0.02585390333716634
4,0.12149362564086914,0.023935178905945955,0.026946306228637695,0.010541841347044141,319,10.0,"{'columntransformer__countvectorizer__max_features': 319, 'ridge__alpha': 10.0}",0.40132432648760663,0.35829954955073573,0.38606164087560413,0.3623486894512745,0.3259331758257584,0.36679347643819593,0.025788016043849806
5,0.12060708999633789,0.009682778194992725,0.02867016792297363,0.007077296602200748,249,10.0,"{'columntransformer__countvectorizer__max_features': 249, 'ridge__alpha': 10.0}",0.40072776630500573,0.35743213551497965,0.3868049752034859,0.3620380467498431,0.32478688889541574,0.366357962533746,0.026175751993720575
6,0.12847380638122557,0.05257366256913357,0.02380976676940918,0.00537166241001391,212,10.0,"{'columntransformer__countvectorizer__max_features': 212, 'ridge__alpha': 10.0}",0.39772974424946783,0.3552350580007777,0.3847683158655849,0.35938661756198,0.3243823246465658,0.36430041206487523,0.025441049743133128
7,0.1298774242401123,0.014680455218160627,0.030596351623535155,0.012489418736558221,202,10.0,"{'columntransformer__countvectorizer__max_features': 202, 'ridge__alpha': 10.0}",0.3975862494081843,0.3551339855008665,0.3849498832027223,0.3581925209454373,0.32114487802601765,0.3634015034166456,0.02651051591421022
8,0.13937039375305177,0.02099893523374768,0.03515982627868652,0.0037388197480818924,150,10.0,"{'columntransformer__countvectorizer__max_features': 150, 'ridge__alpha': 10.0}",0.388403091791529,0.3584476789187553,0.38115353363221394,0.3448553699656336,0.31723081060646274,0.35801809698291887,0.02567310262355924
9,0.10414466857910157,0.010097812980708462,0.025251150131225586,0.006244768136729203,126,10.0,"{'columntransformer__countvectorizer__max_features': 126, 'ridge__alpha': 10.0}",0.3763308461756415,0.3461547158450229,0.36220293021046657,0.33769832977137004,0.3024799185804523,0.34497334811659064,0.025060583628594205
10,0.11858043670654297,0.023961116496837253,0.03318800926208496,0.016837406580449753,364,1.0,"{'columntransformer__countvectorizer__max_features': 364, 'ridge__alpha': 1.0}",0.41024587741298535,0.3124001795201039,0.2826935771915067,0.35196646472453375,0.22670680025753231,0.3168025798213324,0.062077698653075684
